Select,Situation_Name,Description,Key_Contextual_Factors,Associated_Problem_Or_Opportunity,Frequency_Or_Commonality_Indication,Source_Document_Reference,Evidence_Snippets,Keywords,Associated_Problem_Or_Challenge,Key_Framework_Factors
true,Using Skin Masks with Botanical Ingredients,"Users apply skincare masks containing botanical ingredients (e.g., Acmella Oleracea) for anti-aging or skin rejuvenation, often expecting visible results after consistent use.","['Interest in natural, plant-based ingredients', 'Long-term skincare routines', 'Anti-aging concerns']",,Niche but recurring,Instagram post about applying a mask with botanical ingredients,"['Queste maschere contengono Acmella Oleracea, un ingrediente chiamato anche ‘botox vegetale’', 'Chissà come sarà la mia pelle dopo 6 giorni…', 'Non conoscevo questo ingrediente, sembrano molto spesse']","['maschera', 'Acmella Oleracea', 'botanical', 'anti-aging', 'natural ingredients']",Uncertainty about effectiveness or how the skin will respond after continuous use.,
true,Searching for Effective Skin Soothing and Moisturizing Products,"Users are looking for skincare products that soothe irritation, restore moisture, and improve skin texture, especially after tired or damaged skin situations.","['Skin fatigue', 'Irritation', 'need for moisture', 'skin texture improvement']","Skin feels tired, irritated, or dull, requiring effective soothing and hydrating solutions.",Commonly reported,Instagram post about a calming skin serum,"['When your skin feels tired, this brings it back to life.', 'Soothes irritation, restores moisture, and helps smooth skin texture.', 'Skin looks calmer, feels better. You’ll know after one try.']","['moisturizer', 'soothing', 'irritation', 'skin recovery', 'hydration']",,
true,Skincare Routine for Sensitive Skin with Gentle Cleanser,"The user is applying a gentle, hydrating cleanser designed for sensitive skin, aiming to remove natural oils and maintain skin pH balance during their skincare routine.","['Sensitive skin', 'Use of gentle and hydrating products', ""Aim to preserve skin's natural oils"", 'Concern about skin pH (4.5-5.5)']",Finding a cleanser that effectively cleanses without irritating or over-drying sensitive skin.,Commonly reported for users with sensitive skin,Document excerpt 1,"['rip away the natural oils that my skin already produces as well.', 'I found it very gentle and hydrating and good for my sensitive skin.']","['sensitive skin', 'gentle cleanser', 'hydrating', 'pH balance', 'natural oils']",,
true,Launching New Makeup and Skincare Collection at Event,"The user attends an exclusive event to explore and discover a new collection of makeup and skincare products, focusing on ingredients, textures, and formulations.","['Event environment', 'Interest in new product formulas', 'Brand focus on natural, vegan, sustainable ingredients', 'In-person product experience']","Opportunities to learn about and test new products before purchase, aligning with values of natural and sustainable beauty.","Occasional, special occasion scenario",Document excerpt 2,"['com um jantar delicioso e cheio de charme para celebrarmos o lançamento da nova coleção de maquiagem e skincare da marca.', 'Cada produto é desenvolvido para respeitar a saúde da pele e do planeta — unindo tecnologia limpa, performance e propósito.']","['product launch', 'makeup collection', 'skincare', 'natural ingredients', 'brand experience']",,
true,Professional Use of Cryo Globes for Sensitive Skin Treatments,"An esthetician incorporates cryo globes into skincare treatments to reduce redness, irritation, and inflammation, while providing a relaxing, spa-like experience for clients with sensitive skin.","['Esthetician treatment setting', 'Targeting redness and irritation', 'Refrigerated tools', 'Client relaxation and treatment enhancement']","Enhancing facial treatments to improve client comfort and treatment results, especially for sensitive or inflamed skin.",Common in professional skincare treatments,Document excerpt 3,"[""Green NV's cryo globes have completely elevated my treatments, especially after an active or stimulating service."", 'The chills and station instantly calms a skin, suits inflammation and helps reduce redness, while delivering the spa-like, cooling experience that my clients absolutely love.']","['cryotherapy', 'sensitive skin', 'redness reduction', 'client relaxation', 'esthetics']",,
true,Double Cleansing Routine with Korean Products,"The user performs a two-step cleansing process using oil-based and foam-based cleansers to thoroughly remove makeup, sunscreen, and impurities, leaving skin clean and prepared for subsequent treatments.","['Korean skincare routine', 'Oil cleanser followed by foam cleanser', 'Deep cleaning without dryness', 'Use of fermented ingredients']",,Common daily routine among skincare enthusiasts,Document excerpt 4,"['Sabías que una piel limpia absorbe mejor tus productos con el aceite limpia dor de mi zoom el límino todo el maquillaje y protector solar sin esfuerzo.', 'Esto es doble limpieza coreano y si marca la diferencia.']","['double cleansing', 'oil cleanser', 'foam cleanser', 'korean skincare', 'deep cleaning']","Achieving deep, effective cleansing that maintains skin hydration and prepares skin for better absorption of treatments.",
true,Applying Sun Protection During Summer Outdoors,"The user applies lightweight SPF products, including a fluid and a stick, to protect skin from sun exposure while maintaining a natural glow, whether under makeup or alone.","['Summer outdoor environment', 'Use of SPF50', 'Lightweight textures', 'On-the-go application']",Ensuring effective sun protection without compromising comfort or natural appearance during outdoor activities.,Daily summer activity scenario,Document excerpt 5,"['Protéger sa peau n’a jamais été aussi stylé (et sensoriel 😍) !', 'Zéro traces blanches ! Il fond littéralement sur la peau 😍 Parfait sous le makeup ou en solo pour un glow naturel']","['sun protection', 'SPF50', 'summer', 'outdoor', 'lightweight']",,
true,Exploring Natural and Mineral Makeup Products,"The user considers trying natural, minimal makeup products like bronzer, blush, highlighter, and mascara from a brand available at Rossmann, with interest in their ease of use and natural finish.","['Interest in natural makeup', 'Availability at drugstores', 'Promotions and discounts', 'Focus on light, fresh look']","Finding high-quality, natural makeup options that enhance appearance without feeling heavy or artificial.",Occasional shopping scenario,Document excerpt 6,"['Jaka super pigmentacja jest 😍👏', 'Lekki, świeży efekt bez przesady.']","['natural makeup', 'drugstore', 'bronzer', 'promotions', 'light makeup']",,
true,Concern About Parabens and Endocrine Disruptors in Perfumes,"The user discusses the presence of endocrine-disrupting chemicals in conventional perfumes and expresses interest in switching to clean, natural alternatives that do not contain harmful ingredients.","['Awareness of chemical ingredients', 'Concern about hormonal impact', 'Preference for natural or clean beauty products', 'Seeking safer fragrances']",Reducing exposure to harmful chemicals in personal fragrances to support hormonal health.,Ongoing concern among health-conscious consumers,Document excerpt 7,"[""Les perturbateurs endocriniens que l'on retrouve dans nos parfums, dans des produits que l'on a autour de nous, c'est très préoccupant."", ""Les perturbateurs ressemblent à des molécules d'hormones et peuvent perturber le système hormonal.""]","['endocrine disruptors', 'perfumes', 'clean beauty', 'chemical-free', 'hormonal health']",,
true,Discovering Natural Cosmetic Routines via Unboxing,"User receives a beauty box or product package featuring natural skincare and cosmetic products, leading to curiosity and interest in trying new routines and products.","['Receiving a beauty box', 'Interest in natural ingredients', 'Appreciation for packaging aesthetics']","Opportunity to explore and adopt natural skincare routines; unmet need for effective, eco-friendly beauty products.","Common scenario, frequently reported in reviews and social media posts",Various user comments and reviews,"['Joli packaging qui donne le ton sur des produits naturels', 'Cette box est très complète a tester', 'Les textures ont l’air très agréables !']","['natural products', 'packaging', 'discovery', 'routine', 'beauty box']",,
true,Evaluating and Considering New Skincare Products,"User encounters descriptions and visuals of skincare products emphasizing textures, packaging, and ingredients, which incite a desire to try or purchase them.","['Exposure to product descriptions', 'Visual cues from packaging and textures', 'Interest in sensory experience']","Opportunity to enhance personal skincare routine with effective natural products; unmet need for sensory-pleasing, quality skincare.",Frequently reported among users exploring new products,Multiple comments on product textures and packaging,"['Le gommage corps me tenterait bien.', ""J’aime beaucoup leur branding 🔥 l’huile démaquillante a l'air complètement pépite"", 'La texture elle a l air juste dingue']","['texture', 'packaging', 'natural skincare', 'desire', 'sensory']",,
true,Longing to Try Specific Natural Cosmetic Products,"User expresses strong interest in trying particular products like scrubs, oils, or masks after seeing their textures, ingredients, or packaging, often prompted by visual or descriptive cues.","['Interest in sensory and ingredient quality', 'Visual appeal of textures and packaging', 'Desire for effective natural care']","Unmet need for high-quality, sensory-rich natural products; opportunity to improve skin or self-care routine",Common among users inspired by product discovery,Comments highlighting product texture and packaging,"[""Le gommage m'a de suite donné envie de par sa texture !!"", 'Les textures ont l’air très agréables !', 'Effectivement cette marque a l’air super !!! Le gommage me tente bien']","['desire', 'texture', 'natural products', 'interest', 'self-care']",,
true,Considering Natural Cosmetic Use for Specific Skin Needs,"User considers incorporating natural products into their routine to address skin concerns like maintaining a tan, skin brightness, or gentle exfoliation, often motivated by seasonal or personal skin goals.","['Seasonal skin goals', 'Desire for gentle, effective products', 'Interest in natural ingredients']","Unmet need for safe, effective skincare that aligns with natural, eco-conscious values; opportunity to maintain or improve skin health","Occasional, often seasonal or goal-driven","Comments about maintaining tan, skin brightness, or natural exfoliation","['Yo quisiera un buen gommage para mantener mi bronceado', 'Me gustaría utilizar estos productos para cuidar mi piel de forma natural', 'Quiero probar estos productos para un cuidado más suave y natural']","['skin needs', 'natural care', 'exfoliation', 'skin brightness', 'seasonal']",,
true,Seeking Natural and Toxin-Free Skincare Solutions,"User actively searches for or expresses interest in toxin-free, clean beauty products, often motivated by health concerns or desire for safer skincare routines.","['Concern about harmful chemicals', 'Preference for vegan, toxin-free ingredients', 'Interest in effective clean beauty']","Unmet need for safer, chemical-free skincare options; opportunity to switch to healthier routines",Common among health-conscious users,"Comments referencing clean beauty, avoiding chemicals, and natural ingredients","['Produits clean et efficaces, je comprends ton coup de cœur direct 🌿', 'Horribles esos shampoos sólidos q me ayudan a crecer el cabello', 'Odio lo suave y brillante que me queda el pelito cuando me bañas con shampoo y acondicionador hechos por ti']","['toxin-free', 'clean beauty', 'natural ingredients', 'health', 'safer']",,
true,Researching and Trying Natural Serums for Eyelash and Eyebrow Enhancement,"User shows interest in or discusses using natural serums to promote growth and improve the appearance of eyelashes and eyebrows, often influenced by prior experience or curiosity.","['Interest in natural growth solutions', 'Desire for thicker, fuller lashes and brows', 'Seeking easy-to-use, effective products']","Unmet need for safe, natural alternatives to enhance lash and brow density; opportunity for self-enhancement",Frequent among beauty enthusiasts seeking natural solutions,Comments about trying or planning to try lash/brow serums,"['Que bien suena con lo que me gusta cuidar las pestañas y cejas 🙌', 'Quiero probar la marca Dime ❤️🙌', 'Que interesante es este serum para pestañas, me encanta que sea dos en uno 😍😍😍']","['serum', 'lashes', 'brows', 'growth', 'natural']",,
true,Evaluating Product Effectiveness and Efficacy Claims,"User assesses or anticipates using products based on descriptions, visual cues, or prior experiences, often with a focus on effectiveness, ease of use, and sensory appeal.","['Visual and descriptive information', 'Previous experience or curiosity', 'Desire for effective, easy-to-apply products']","Opportunity to improve beauty routine with proven, effective products; unmet need for trustworthy efficacy",Common in product exploration phase,"Comments on product descriptions, presentation, and perceived efficacy","['Se ve muy práctico ese serum con doble uso 😍', 'Que buena pinta 😍', 'Todo es importante, esto también']","['efficacy', 'product review', 'effectiveness', 'ease of use', 'trust']",,
true,Discovering New Beauty Content via Stories and Highlights,"The user is browsing their social media feed, specifically viewing stories and highlighted content related to beauty brands and products, to find inspiration or new products to try.","['Use of social media platform', 'Browsing stories and highlights', 'Interest in beauty and skincare']","Seeking fresh beauty ideas, trends, or product recommendations from social media content.",Frequent (daily social media browsing),Document excerpt starting with 'retrouver aussi dans mes stories et story à la une BIOTYFULL',"['retrouver aussi dans mes stories et story à la une BIOTYFULL', 'Je vous souhaite une très belle soirée la Team Maisondéco 😘', '#decorationinterieur #cosmetiquebio #teamdeco']","['social media', 'stories', 'beauty inspiration', 'highlights', 'product discovery']",,
true,Seeking Skincare Solutions for Skin Brightening and Pigmentation,"The user is applying or considering using a skincare product (a cream) that claims to improve skin tone, reduce pigmentation, and brighten the skin, based on reviews or personal experience.","['Using skincare products', 'Concern about pigmentation and skin brightness', 'Interest in Korean skincare']","Desire to achieve a more even, luminous skin tone and reduce dark spots.","Occasional, during skincare routine",Post with description starting 'один крем от Mary&May решил кучу проблем моей кожи!',"['- ровный тон', '- уменьшилась пигментация', '- кожа напитанная и сияющая']","['skincare', 'pigmentation', 'brightening', 'dark spots', 'Korean beauty']",,
true,"Looking for Portable, Travel-Friendly Fragrance Options","The user is searching for or using small, portable perfume rollers that are convenient to carry while traveling, emphasizing ease of use and scent variety.","['Traveling', 'Need for portable products', 'Preference for fragrances in rollerball format']","Seeking easy-to-carry, on-the-go fragrances that do not compromise on scent quality.","Frequent, during travel or daily outings",Posts describing travel-sized perfumes by Ellis Brooklyn and comments expressing love for the portability,"['Love how travel-friendly and chic they are.', 'Perfect for on-the-go vibes.', 'These would be amazing for travel']","['travel', 'portable perfume', 'rollerball', 'fragrance', 'on-the-go']",,
true,Seeking Beauty Treatments for Eye and Lash Enhancement,"The user is interested in or applying beauty treatments such as lash lifts or eye creams, usually in a salon or at home, to enhance appearance.","['Beauty treatment session', 'Focus on eye or lash area', 'Use of specific beauty products or services']",Achieving lifted lashes or brighter eyes with minimal effort.,"Occasional, during beauty appointments or self-care routines","Posts about lash lifts and eye treatments, e.g., 'LIFTED LASHES' and 'Self-care starts with clean skin and bright eyes'","['LIFTED LASHES', 'LIFTED VIBRATIONS ✨☁️🪞', 'Self-care starts with clean skin and bright eyes']","['lash lift', 'eye cream', 'beauty treatment', 'self-care', 'eyelash']",,
true,Learning About Brand Origins and Product Innovation Stories,"The user is reading or watching content about the history and development of beauty brands, focusing on founder stories, formulation philosophies, and product strategies.","['Interest in brand stories', 'Engagement with content about product development', 'Curiosity about innovation in clean beauty']",Gaining insights into what makes certain brands category leaders and how scientific approaches influence product efficacy.,"Occasional, during research or brand exploration",Posts discussing the origins of Kosas and the founder Sheena Yaitanes,"['From Kitchen Table to $500 Million Beauty Brand', 'Sheena Yaitanes created Kosas in 2015', ""created formulations that weren't dogmatic about natural versus synthetic ingredients""]","['brand story', 'founder', 'product innovation', 'clean beauty', 'brand history']",,
true,Exploring and Reviewing Skincare and Makeup Products,"The user is browsing or reviewing various skincare and makeup products, often through social media posts or comments, to decide which products to try or purchase.","['Engagement with user reviews', 'Interest in ingredient benefits', 'Looking for recommendations']","Finding effective, safe, and suitable products for personal skincare and makeup needs.","Frequent, during routine shopping or social media engagement","Posts with detailed product descriptions, reviews, and user comments about products like creams, toners, and glosses","['This woman went from mixing makeup in her kitchen to building a $500 million clean beauty brand.', 'El Mercado de cosméticos es enormeeee! Que impacto! Y si dan ganas de probar Kosas.', 'Top picks for radiant skin! ✨']","['product review', 'skincare', 'makeup', 'recommendation', 'user experience']",,
true,Seeking Affordable Wholesale Cleaning Products,"The user is looking for or purchasing large quantities of cleaning or household products, such as surf detergent, often from wholesale shops or local vendors.","['Bulk purchase', 'Interest in cleaning products', 'Location near Mehdipatnam']",Obtaining cost-effective cleaning supplies for home use.,"Occasional, based on household needs",Post about offering 25 kg surf miljara from a wholesale shop,"['Offer clean items 25 kg surf miljara 🤯', 'Wholesale shop (sagar soap)', 'Location 📍Mehdipatnam signal stated near (sagar soap)']","['wholesale', 'cleaning product', 'bulk purchase', 'household supply', 'affordable']",,
true,Concernant l'exposition quotidienne aux parfum et perturbateurs endocriniens,"L'utilisateur s'inquiète de l'impact des parfums d'intérieur, bougies parfumées, lessive et autres molécules volatiles présents dans son environnement quotidien, notamment au travail, qui pourraient agir en silence sur sa santé hormonale.","['Utilisation quotidienne de parfums et produits parfumés', 'Espaces fermés, notamment au bureau', ""Présence de molécules volatiles dans l'air"", 'Sensibilité aux odeurs fortes']",L'utilisateur souhaite réduire son exposition à ces perturbateurs endocriniens pour préserver sa santé hormonale et son bien-être.,"Récurrente, utilisation quotidienne",Extrait 1,"['En petite dose, ça passe, mais le parfum, c’est un truc qu’on utilise tous les jours, donc l’impact est bien réel.', 'Toutes ces petites molécules qui flottent dans l’air agissent en silence sur notre corps, notamment nos hormones.', 'Le plus dur est de supporter ceux des autres en espace ferme, surtout au bureau, c’est extrêmement gênant pour ceux qui ne tolèrent pas les fortes odeurs.']","['parfums', 'perturbateurs endocriniens', 'air intérieur', 'santé hormonale', 'espace fermé']",,
true,Recherche de produits naturels et bio pour une routine de soins personnelle,"L'utilisateur privilégie des produits cosmétiques bio et naturels, notamment en raison de ses allergies, pour sa routine de soins quotidienne, cherchant à éviter les composants chimiques potentiellement nuisibles.","['Allergies ou sensibilité à certains composants', 'Usage de produits biologiques', 'Priorité à la naturalité et aux ingrédients sains']","Trouver des produits cosmétiques efficaces, sûrs et adaptés à sa sensibilité pour améliorer sa routine de soins.","Souvent ou toujours, dans le cadre d'une routine régulière",Extrait 1,"['Moi, ce qui me fait flipper ce sont surtout les parfums d’intérieur, les bougies parfumées, ou encore la lessive qui « sent bon 72 h ».', 'J’ai mis que du bio car j’ai un terrain allergique même mes produits cosmétiques ect sont bio et c’est beaucoup mieux.']","['produits bio', 'allergies', 'soins naturels', 'cosmétiques sains', 'sensibilité']",,
true,Découverte et utilisation de déodorants et soins naturels en crème,"L'utilisateur présente ses produits de soin naturels, notamment un déodorant en crème à base d’ingrédients naturels, sans aluminium ni parabènes, et un gel intime, qu'il utilise pour rester frais toute la journée dans un cadre quotidien.","['Usage de produits naturels', 'Préférence pour des formules sans aluminium et parabènes', 'Application quotidienne', 'Recherche de fraîcheur durable']",Trouver des alternatives naturelles et efficaces aux produits conventionnels pour le soin corporel et intime.,"Récurrente, quotidiennement",Extrait 2,"['Este desodorante en crema de NALA, con aroma a pomelo, es una fantasía.', 'No mancha la ropa, no irrita y encima dura un montón.']","['déodorant crème', 'produits naturels', 'sans aluminium', 'frais toute la journée', 'gel intime']",,
true,Choix de produits cosmétiques naturels pour une routine de beauté,"L'utilisateur partage sa routine beauté avec des produits formulés à base d’ingrédients naturels comme le kumquat, pour un soin du corps et du visage, cherchant à améliorer l’éclat et la santé de sa peau.","['Utilisation de produits à base d’ingrédients naturels', 'Souci de l’éclat et de la santé cutanée', 'Routine quotidienne ou régulière']","Obtenir une peau saine, éclatante et hydratée tout en évitant les composants chimiques agressifs.","Régulièrement, dans le cadre de routine beauté",Extrait 3,"['Bloomy est une marque qui se distingue par son engagement envers la nature et le bien-être.', ""Elle propose une gamme de produits axés sur la beauté et le soin, en mettant l'accent sur des ingrédients naturels et durables.""]","['produits naturels', 'routine beauté', 'exfoliation', 'hydratation', 'éclat']",,
true,Intérêt pour les sérums à base de vitamines C et niacinamide,"L'utilisateur explore des sérums contenant de la vitamine C et de la niacinamide pour améliorer la luminosité, l’uniformité et la santé de sa peau, étant intéressé par leur texture légère et leurs propriétés antioxydantes.","['Recherche de produits pour améliorer la luminosité et l’uniformité de la peau', 'Préférence pour des textures légères', 'Routine de soins quotidienne']","Obtenir une peau plus lumineuse, équilibrée et protégée contre les agressions extérieures.","Souvent ou occasionnellement, selon la routine",Extrait 4,"['Finalmente un fondotinta che copre senza appesantire e lascia la pelle luminosa', 'La vitamina C è genial. La vitamina c funziona súper, está marca no la conozco!', 'Es un combo perfecto para una piel radiante y protegida.']","['vitamine C', 'niacinamide', 'peau lumineuse', 'antioxydants', 'serums']",,
true,Engagement envers la cosmétique naturelle et l'histoire de la marque,"L'utilisateur partage l’histoire de la création de la marque, motivée par une passion pour les huiles essentielles, la formulation naturelle et le désir d’aider les autres à se sentir bien dans leur peau, en soulignant un parcours entrepreneurial basé sur la beauté propre.","['Origines dans les huiles essentielles', 'Passion pour la formulation naturelle', 'Engagement pour la beauté propre', 'Histoire entrepreneuriale']",Inspirer la confiance et encourager l’adoption de soins naturels pour le bien-être et la santé de la peau.,"Unique, narratif de marque",Extrait 5,"['Il a tout commencé quand notre fondatrice est entrée dans un atelier d’huiles essentielles.', 'Ce premier cours a déclenché une passion pour la beauté propre, la formulation, et l’aide aux autres à se sentir bien dans leur peau.']","['histoire de marque', 'huiles essentielles', 'beauté propre', 'entrepreneuriat', 'formulation naturelle']",,
true,Découverte de produits cosmétiques asiatiques à base d’ingrédients naturels,"L'utilisateur présente une routine de soins avec des produits formulés à base d’ingrédients naturels venus d’Asie, notamment un gommage corporel et une huile démaquillante, visant à obtenir une peau saine, éclatante et lumineuse.","['Produits asiatiques', 'Ingrédients naturels', 'Routine de soins quotidienne', 'Accent sur la durabilité et la naturalité']","Adopter une routine de soins efficace, naturelle et respectueuse de l’environnement pour améliorer la santé de la peau.","Régulièrement ou occasionnellement, dans le cadre de routine beauté",Extrait 6,"['Bloomy est une marque qui se distingue par son engagement envers la nature et le bien-être.', ""Elle propose une gamme de produits axés sur la beauté et le soin, en mettant l'accent sur des ingrédients naturels et durables venus d’Asie.""]","['produits asiatiques', 'ingrédients naturels', 'routine soin', 'exfoliation', 'hydratation']",,
true,Applying Brightening Eye Serum with Lymphatic Roller,"A user is in the process of using a targeted eye serum paired with a stainless-steel lymphatic roller to reduce dark circles and brighten under-eye area, aiming for both instant and long-term results.","['Using skincare product for eyes', 'Targeted treatment', 'Presence of dark circles', 'Routine involving serum and lymphatic roller']","Desire to diminish dark circles and achieve brighter, more refreshed under-eye skin efficiently.",Likely occasional or as part of regular skincare routine,Document 1,"['dark circles in one cooling, targeted step.', 'pairs with a 360° stainless-steel lymphatic roller for both instant and long-term results.', '100% showed brighter under-eyes in a clinical study.']","['dark circles', 'lymphatic roller', 'brightening', 'eye serum', 'skincare']",,
true,Using Multi-Ingredient Under-Eye Serum for Dark Circles and Puffiness,"A user discusses applying a lightweight serum with niacinamide, caffeine, ceramides, peptides, and squalane to reduce dark circles, puffiness, and inflammation around the eyes, emphasizing ease of incorporation into routine.","['Applying eye serum', 'Presence of dark circles and puffiness', 'Interest in skincare ingredients', 'Routine enhancement']","Seeking effective, easy-to-use solution to diminish dark circles, puffiness, and brighten under-eye area.","Regular, possibly daily, use",Document 2,"['deep puff my under eye area', 'diminish dark circles and Deep puff as well as brighten the under eye area', 'serum is so easy to use and super easy to incorporate into your routine']","['dark circles', 'puffiness', 'eye serum', 'niacinamide', 'brightening']",,
true,Attending a Beauty Event Featuring Skincare Products,"A user attends a grand opening event for a beauty brand, exploring natural skincare products, enjoying skin analysis, and learning about new skincare routines and products.","['Event environment', 'Exploring skincare products', 'Interest in natural/organic options', 'Learning about skin health']","Opportunity to discover new skincare products and routines, gather knowledge, and try products in a social setting.","Occasional, special event",Document 3,"['成個場都係打卡位', '現場仲有皮膚分析機', '成個event又好玩又學到嘢']","['skincare event', 'natural products', 'skin analysis', 'brand launch', 'social experience']",,
true,Using Mineral-based Tinted SPF for Daily Sun Protection,"A user considers applying a mineral-based, tinted SPF 30 suitable for teens and pregnant women, emphasizing its lightweight, non-charging, and glow-boosting properties, with caution about potential color on some skin types.","['Seeking daily sun protection', 'Sensitive or teen skin', 'Preference for natural, mineral SPF', 'No white cast']","Need for a safe, lightweight, and effective daily sunscreen that enhances glow without white cast or irritation.",Daily routine,Document 4,"['Mineral-based, tinted, fragrance-free, and gentle on sensitive skin.', 'No white cast. Just glow.', 'If you’re looking for a new SPF that’s lightweight and glow-boosting, DreamBeam is it.']","['SPF30', 'mineral sunscreen', 'tinted', 'glow', 'sensitive skin']",,
true,Exploring Natural Skincare Products at a Launch Event,"A user attends an event showcasing a variety of natural skincare products, including cleansers, toners, serums, and creams, aiming to build an effective, natural skincare routine.","['Interest in organic/natural skincare', 'Event environment', 'Looking for effective skincare products', 'Focus on anti-aging, hydration, and skin tone']","Opportunity to discover natural, effective skincare solutions suitable for various skin concerns and to learn how to incorporate them into daily routines.","Event-based, occasional",Document 5,"['nyugtató és pórustisztító hatásával igazi felüdülés a bőrnek', 'antioxidánsokkal védi a bőrt', 'regeneráló és gyulladáscsökkentő szuperhős']","['natural skincare', 'anti-aging', 'hydration', 'antioxidants', 'skin regeneration']",,
true,Using Baby Hair Care Routine for Delicate Scalp,"A parent follows a gentle, plant-based 3-step routine for their baby's scalp and hair, including coconut oil, plant-based shampoo, and conditioner, ensuring a tear-free and safe environment.","[""Baby's delicate scalp"", 'Use of gentle, plant-based products', 'Tear-free, pH balanced', 'Routine for newborns or infants']","Providing safe, gentle hair and scalp care for delicate baby skin, avoiding harsh chemicals.",Daily or regular routine,Document 6,"['Gentle care for your little one’s delicate scalp & hair', 'Tear-free, pH balanced, toxin-free & 100% baby-safe', 'Because your baby deserves the cleanest start!']","['baby hair care', 'gentle products', 'tear-free', 'plant-based', 'infant routine']",,
true,Seeking Fragrance During Summer or Warm Weather,"User is interested in trying or experiencing perfumes, especially during the summer season, and admires scents that smell wonderful and fresh.","['Season: Summer', 'Interest in scents', 'Desire for pleasant fragrances']",Finds it challenging to choose or discover perfumes that smell good and suit the summer atmosphere.,Commonly reported during warmer months,Original user excerpts,"['To musi super pachnieć 😍😍', 'Ja mysle ze idealny szczególnie że mamy lato 😍', 'Jaki to musi być piękny zapach 😍😍']","['perfume', 'summer', 'scents', 'fragrance', 'pleasant']",,
true,User’s Interest in Spiritual or Energy Readings,"User invites others to share their name and birth date to receive a free, energy-based card reading, highlighting a desire for spiritual connection and personalized insight.","['User offers free spiritual reading', 'Interest in energy and astrology', 'Engagement through personal data (birth date)']",Users seek personal guidance or connection through spiritual or energy readings without cost.,"Occasional, special engagement",Original user excerpts,"['Napisz w komentarzu swoje imię i datę urodzenia, a ja przygotuję dla Ciebie całkowicie darmowy, ogólny odczyt kart na podstawie energii Twojej daty urodzenia 🌙', 'To mój prezent dla Ciebie za to, że jesteś tutaj ze mną 💫', 'czasem jedno zdanie potrafi zmienić wszystko…']","['spirituality', 'energy reading', 'personal guidance', 'astrology', 'free']",,
true,Transition to Natural and Clean Beauty Products,"User shares their journey of switching from conventional to natural, cruelty-free, vegan, and clean beauty products, motivated by health, environmental concerns, and personal well-being.","['Health consciousness', 'Environmental sustainability', 'Pregnancy or health conditions', 'Influence from online content and community']","Finding effective, safe, and environmentally friendly beauty products to improve health and support sustainable living.","Common, ongoing process",Comments and user stories,"['Minha mudança começou quando estava tentando engravidar da Malu e se intensificou quando meu pai estava em tratamento para quimioterapia e o médico pediu para que ele usasse produtos mais naturais!!!', 'A partir daí só me apaixonei e me envolvi nesse processo 💗', 'Minha virada pra beleza limpa foi em 2019, por me importar com a saúde do planeta e com a minha tambem ❤️']","['natural products', 'clean beauty', 'sustainable living', 'health', 'cruelty-free']",,
true,Switching to Organic and Natural Skincare Due to Health or Pregnancy Reasons,"User transitions to natural skincare products motivated by health concerns such as pregnancy, autoimmune conditions, or to avoid harmful chemicals.","['Pregnancy', 'Health conditions (autoimmune, celiac, etc.)', 'Desire to avoid chemicals', 'Influence from health professionals']",Ensuring safety and health by replacing synthetic products with natural alternatives during sensitive health periods.,Frequent during pregnancy or health crises,Comments and personal stories,"['Estou amamentando e não estava usando nada por medo de prejudicar minha bebê.', 'Minha mudança de chave começou no climatério, começou cedo e então li muito sobre os disruptores endócrinos.', 'Perdi uma gestação e quis eliminar alguns tóxicos da minha vida pra conquistar minhas crianças.']","['pregnancy', 'autoimmune', 'toxic-free', 'health safety', 'natural skincare']",,
true,Using Natural Products to Improve Skin Appearance and Brightness,"User adopts skincare routines based on natural ingredients like tomato, prebiotics, and botanical extracts to achieve a glowing, healthy complexion.","['Focus on natural and effective ingredients', 'Concern with skin dullness, fatigue, dehydration', 'Preference for minimal or no makeup']","Achieve a radiant, healthy skin look naturally without heavy makeup.","Regular, especially in summer or when seeking a natural glow",User comments and product descriptions,"['cette routine inspirée de la tomate m’a redonné bonne mine', 'Effet bonne mine instantané', 'Une peau rebondie, lumineuse, hydratée']","['natural glow', 'skincare routine', 'tomato extract', 'brightening', 'hydration']",,
true,Seeking Natural and Effective Anti-Aging Solutions,"User is interested in skincare products like eye creams and sun protection that target dark spots, wrinkles, and hyperpigmentation using natural, vegan, and cruelty-free ingredients.","['Concern with aging signs', 'Preference for vegan and eco-friendly products', 'Focus on skin brightening and protection']","Find effective, safe products that reduce signs of aging and brighten skin without harmful chemicals.","Regular, ongoing concern",Product promotion descriptions,"['Improve the appearance of dark spots and wrinkles with Mary&May’s viral K-beauty eye cream and sun cream!', 'Powerful UV ray protection, no white cast, vegan certified', 'Supports brightening and anti-aging with natural ingredients']","['anti-aging', 'dark spots', 'wrinkles', 'natural ingredients', 'sun protection']",,
